State,Number of CoCs,Overall Homeless,Sheltered ES Homeless,Sheltered TH Homeless,Sheltered SH Homeless,Sheltered Total Homeless,Unsheltered Homeless,Overall Homeless Individuals,Sheltered ES Homeless Individuals,Sheltered TH Homeless Individuals,Sheltered SH Homeless Individuals,Sheltered Total Homeless Individuals,Unsheltered Homeless Individuals,Overall Homeless People in Families,Sheltered ES Homeless People in Families,Sheltered TH Homeless People in Families,Sheltered Total Homeless People in Families,Unsheltered Homeless People in Families,Overall Homeless Family Households,Sheltered ES Homeless Family Households,Sheltered TH Homeless Family Households,Sheltered Total Homeless Family Households,Unsheltered Homeless Family Households,Sheltered SH Chronically Homeless,Overall Chronically Homeless Individuals,Sheltered ES Chronically Homeless Individuals,Sheltered SH Chronically Homeless Individuals,Sheltered Total Chronically Homeless Individuals,Unsheltered Chronically Homeless Individuals,Overall Homeless Veterans,Sheltered Total Homeless Veterans,Unsheltered Homeless Veterans,Year
MA,19,17501,12652,4074,53,16779,722,6289,3119,2405,53,5577,712,11212,9533,1669,11202,10,3887,3267,616,3883,4,21,1500,1147,21,1168,332,1181,1126,55,2012
MD,16,9454,3399,2451,92,5942,3512,5727,2117,1236,92,3445,2282,3727,1282,1215,2497,1230,1300,424,388,812,488,41,1259,448,41,489,770,617,513,104,2012
ME,2,2393,975,1373,12,2360,33,1287,688,554,12,1254,33,1106,287,819,1106,0,376,99,277,376,0,11,222,209,11,220,2,116,116,0,2012
MI,21,12592,5221,5015,34,10270,2322,7397,3405,2048,34,5487,1910,5195,1816,2967,4783,412,1703,628,937,1565,138,13,1174,677,13,690,484,1017,835,182,2012
MN,10,7744,3684,3060,10,6754,990,3540,1878,905,10,2793,747,4204,1806,2155,3961,243,1311,536,704,1240,71,10,1004,690,10,700,304,309,243,66,2012
MO,8,10237,4683,3157,53,7893,2344,4855,1896,1582,53,3531,1324,5382,2787,1575,4362,1020,1745,956,505,1461,284,48,906,561,48,609,297,899,714,185,2012
MS,3,2413,486,556,0,1042,1371,1794,374,252,0,626,1168,619,112,304,416,203,221,38,120,158,63,0,450,55,0,55,395,244,71,173,2012
MT,1,1833,716,437,0,1153,680,1166,443,210,0,653,513,667,273,227,500,167,192,89,80,169,23,0,304,161,0,161,143,323,147,176,2012
NC,12,13524,4641,4155,13,8809,4715,8480,3486,1962,13,5461,3019,5044,1155,2193,3348,1696,1633,388,696,1084,549,0,1465,641,0,641,824,1413,1091,322,2012
ND,1,688,474,161,0,635,53,485,344,101,0,445,40,203,130,60,190,13,70,42,22,64,6,0,81,75,0,75,6,160,144,16,2012
NE,3,3789,1581,1376,0,2957,832,2215,1183,678,0,1861,354,1574,398,698,1096,478,514,133,230,363,151,0,396,288,0,288,108,249,213,36,2012
NH,3,1496,769,555,5,1329,167,832,478,200,5,683,149,664,291,355,646,18,240,98,135,233,7,5,237,146,5,151,86,127,116,11,2012
NJ,19,13025,8130,3280,19,11429,1596,6603,4240,1128,19,5387,1216,6422,3890,2152,6042,380,2247,1388,735,2123,124,0,881,609,0,609,272,592,465,127,2012
NM,2,3245,1380,1017,0,2397,848,2136,1059,412,0,1471,665,1109,321,605,926,183,348,95,194,289,59,0,973,566,0,566,407,345,202,143,2012
